id_commune;id_year;decile_1_revenu;decile_9_revenu;ratio_deciles
69001;2014;;;
69001;2015;;;
69001;2016;;;
69001;2017;;;
69001;2018;;;
69001;2019;;;
69001;2020;;;
69001;2021;;;
69002;2014;;;
69002;2015;;;
69002;2016;;;
69002;2017;;;
69002;2018;;;
69002;2019;;;
69002;2020;;;
69002;2021;;;
69003;2014;12005.9259259259;43868.6666666667;3.6539178183613
69003;2015;11759.5833333333;44295.3333333333;3.76674343620451
69003;2016;12754.2307692308;45281.4285714286;3.5503065132449
69003;2017;12500.0;45230.0;3.6
69003;2018;12830.0;44510.0;3.5
69003;2019;12680.0;45670.0;3.6
69003;2020;13640.0;45910.0;3.4
69003;2021;13400.0;47970.0;3.6
69004;2014;;;
69004;2015;;;
69004;2016;;;
69004;2017;;;
69004;2018;;;
69004;2019;;;
69004;2020;;;
69004;2021;;;
69005;2014;;;
69005;2015;;;
69005;2016;;;
69005;2017;;;
69005;2018;;;
69005;2019;;;
69005;2020;;;
69005;2021;;;
69006;2014;11287.0;29752.0;2.63595286612918
69006;2015;11450.0;29945.3333333333;2.61531295487627
69006;2016;11555.0;31072.0;2.68905235828646
69006;2017;11430.0;31870.0;2.8
69006;2018;11890.0;31600.0;2.7
69006;2019;11960.0;31910.0;2.7
69006;2020;12190.0;33080.0;2.7
69006;2021;12000.0;33080.0;2.8
69007;2014;13922.4583333333;39414.6666666667;2.83101344051428
69007;2015;14469.2307692308;39624.6666666667;2.73854687223108
69007;2016;14878.0952380952;40601.3333333333;2.72893355524261
69007;2017;15150.0;41470.0;2.7
69007;2018;15470.0;44480.0;2.9
69007;2019;16130.0;43490.0;2.7
69007;2020;16230.0;45220.0;2.8
69007;2021;16410.0;45180.0;2.8
69008;2014;;;
69008;2015;;;
69008;2016;;;
69008;2017;;;
69008;2018;;;
69008;2019;;;
69008;2020;;;
69008;2021;;;
69009;2014;13234.2857142857;35830.0;2.70736183074266
69009;2015;13306.875;36516.0;2.74414541355502
69009;2016;13545.3333333333;36654.6666666667;2.70607343242445
69009;2017;13650.0;37930.0;2.8
69009;2018;13990.0;38860.0;2.8
69009;2019;13500.0;38290.0;2.8
69009;2020;13800.0;38830.0;2.8
69009;2021;13760.0;40610.0;3.0
69010;2014;11515.0;33835.5555555556;2.93838954021325
69010;2015;11190.7142857143;33436.6666666667;2.98789387459841
69010;2016;11327.0;33908.0952380952;2.99356363009581
69010;2017;11540.0;34390.0;3.0
69010;2018;11640.0;34850.0;3.0
69010;2019;11690.0;35570.0;3.0
69010;2020;12210.0;35700.0;2.9
69010;2021;12780.0;36940.0;2.9
69012;2014;;;
69012;2015;;;
69012;2016;;;
69012;2017;;;
69012;2018;;;
69012;2019;;;
69012;2020;;;
69012;2021;;;
69013;2014;12782.8571428571;37859.3333333333;2.96172701534794
69013;2015;13540.0;37937.0;2.80184638109306
69013;2016;13796.0;38721.9565217391;2.80675242981583
69013;2017;13820.0;38450.0;2.8
69013;2018;14010.0;38840.0;2.8
69013;2019;13600.0;38360.0;2.8
69013;2020;14120.0;39060.0;2.8
69013;2021;14460.0;40730.0;2.8
69014;2014;;;
69014;2015;;;
69014;2016;;;
69014;2017;;;
69014;2018;;;
69014;2019;;;
69014;2020;;;
69014;2021;;;
69016;2014;;;
69016;2015;;;
69016;2016;;;
69016;2017;;;
69016;2018;;;
69016;2019;;;
69016;2020;;;
69016;2021;;;
69017;2014;;;
69017;2015;;;
69017;2016;;;
69017;2017;;;
69017;2018;;;
69017;2019;;;
69017;2020;;;
69017;2021;;;
69018;2014;;;
69018;2015;;;
69018;2016;;;
69018;2017;;;
69018;2018;;;
69018;2019;;;
69018;2020;;;
69018;2021;;;
69019;2014;10584.6428571429;30518.3333333333;2.88326528775967
69019;2015;10962.3076923077;30854.6666666667;2.81461417912193
69019;2016;11835.0;31915.3333333333;2.69669060695677
69019;2017;12080.0;32130.0;2.7
69019;2018;12250.0;33930.0;2.8
69019;2019;12360.0;33420.0;2.7
69019;2020;12610.0;33780.0;2.7
69019;2021;12930.0;34350.0;2.7
69020;2014;;;
69020;2015;;;
69020;2016;;;
69020;2017;;;
69020;2018;;;
69020;2019;;;
69020;2020;;;
69020;2021;;;
69021;2014;13170.0;35511.4285714286;2.69638789456557
69021;2015;12959.6153846154;35222.380952381;2.71785696620242
69021;2016;13786.1538461538;36631.0;2.6570862626939
69021;2017;14350.0;35760.0;2.5
69021;2018;14720.0;37600.0;2.6
69021;2019;14650.0;38040.0;2.6
69021;2020;15350.0;38870.0;2.5
69021;2021;14980.0;38560.0;2.6
69022;2014;;;
69022;2015;;;
69022;2016;;;
69022;2017;;;
69022;2018;;;
69022;2019;;;
69022;2020;;;
69022;2021;;;
69023;2014;;;
69023;2015;;;
69023;2016;;;
69023;2017;;;
69023;2018;;;
69023;2019;;;
69023;2020;;;
69023;2021;;;
69024;2014;13311.0;38245.0;2.87318758921193
69024;2015;14255.2380952381;39018.5714285714;2.7371392303581
69024;2016;14074.6666666667;39836.0869565217;2.83033963787337
69024;2017;14470.0;39970.0;2.8
69024;2018;15020.0;40660.0;2.7
69024;2019;15080.0;40290.0;2.7
69024;2020;15280.0;41070.0;2.7
69024;2021;16100.0;43560.0;2.7
69026;2014;;;
69026;2015;;;
69026;2016;;;
69026;2017;;;
69026;2018;;;
69026;2019;;;
69026;2020;;;
69026;2021;;;
69027;2014;12758.0952380952;40774.6666666667;3.19598387578382
69027;2015;13007.5862068966;41123.2666666667;3.16148330770726
69027;2016;13090.0;42488.6666666667;3.24588744588744
69027;2017;13430.0;42390.0;3.2
69027;2018;13550.0;43530.0;3.2
69027;2019;13640.0;44270.0;3.2
69027;2020;13870.0;43860.0;3.2
69027;2021;13980.0;45690.0;3.3
69028;2014;14867.0;46664.5833333333;3.13880294163808
69028;2015;15283.2;47228.6666666667;3.09023415689559
69028;2016;15398.0952380952;47814.4;3.10521523998021
69028;2017;15550.0;47440.0;3.1
69028;2018;15870.0;49720.0;3.1
69028;2019;16040.0;49720.0;3.1
69028;2020;16490.0;49760.0;3.0
69028;2021;16290.0;52560.0;3.2
69029;2014;9575.0;36942.962962963;3.85827289430423
69029;2015;9714.0;37301.1111111111;3.83993320064969
69029;2016;9877.66666666667;37117.0;3.75766881517227
69029;2017;10120.0;37630.0;3.7
69029;2018;10320.0;38210.0;3.7
69029;2019;10430.0;38240.0;3.7
69029;2020;10770.0;39060.0;3.6
69029;2021;10730.0;40330.0;3.8
69030;2014;;;
69030;2015;;;
69030;2016;;;
69030;2017;;;
69030;2018;;;
69030;2019;;;
69030;2020;;;
69030;2021;;;
69031;2014;;;
69031;2015;;;
69031;2016;;;
69031;2017;;;
69031;2018;;;
69031;2019;;;
69031;2020;;;
69031;2021;;;
69032;2014;;;
69032;2015;;;
69032;2016;;;
69032;2017;;;
69032;2018;14800.0;40510.0;2.7
69032;2019;15110.0;40950.0;2.7
69032;2020;15560.0;39900.0;2.6
69032;2021;16760.0;43800.0;2.6
69033;2014;16560.0;50435.3333333333;3.04561191626409
69033;2015;17444.6666666667;49466.6666666667;2.83563266709978
69033;2016;18684.4;50960.0;2.72740896148659
69033;2017;18570.0;53600.0;2.9
69033;2018;18570.0;54290.0;2.9
69033;2019;18900.0;57360.0;3.0
69033;2020;19200.0;56060.0;2.9
69033;2021;20040.0;57790.0;2.9
69034;2014;12385.625;47781.3333333333;3.85780558779499
69034;2015;12546.0;48666.8;3.87906902598438
69034;2016;12635.3333333333;49178.3333333333;3.89212789532
69034;2017;12850.0;49270.0;3.8
69034;2018;13050.0;51460.0;3.9
69034;2019;13090.0;50900.0;3.9
69034;2020;13380.0;51520.0;3.9
69034;2021;13540.0;53400.0;3.9
69035;2014;;;
69035;2015;;;
69035;2016;;;
69035;2017;;;
69035;2018;;;
69035;2019;;;
69035;2020;;;
69035;2021;;;
69036;2014;;;
69036;2015;;;
69036;2016;;;
69036;2017;;;
69036;2018;;;
69036;2019;;;
69036;2020;;;
69036;2021;;;
69037;2014;;;
69037;2015;;;
69037;2016;;;
69037;2017;;;
69037;2018;;;
69037;2019;;;
69037;2020;;;
69037;2021;;;
69038;2014;;;
69038;2015;;;
69038;2016;;;
69038;2017;;;
69038;2018;;;
69038;2019;;;
69038;2020;;;
69038;2021;;;
69039;2014;;;
69039;2015;;;
69039;2016;;;
69039;2017;;;
69039;2018;;;
69039;2019;;;
69039;2020;;;
69039;2021;;;
69040;2014;12537.6;47014.6666666667;3.74989365322443
69040;2015;12974.7058823529;47780.4761904762;3.6825864588933
69040;2016;12647.5;48723.5;3.85242142715952
69040;2017;13190.0;49580.0;3.8
69040;2018;13160.0;51170.0;3.9
69040;2019;13480.0;51720.0;3.8
69040;2020;13390.0;50040.0;3.7
69040;2021;13380.0;51760.0;3.9
69042;2014;;;
69042;2015;;;
69042;2016;;;
69042;2017;;;
69042;2018;;;
69042;2019;;;
69042;2020;;;
69042;2021;;;
69043;2014;14946.0;50414.5833333333;3.3731154377983
69043;2015;15007.1428571429;51851.2;3.4551013802951
69043;2016;15328.0;51740.0;3.37552192066806
69043;2017;15520.0;52220.0;3.4
69043;2018;15800.0;56310.0;3.6
69043;2019;16340.0;55880.0;3.4
69043;2020;16350.0;54240.0;3.3
69043;2021;16330.0;56620.0;3.5
69044;2014;15930.6060606061;66531.6666666667;4.17634247018318
69044;2015;16405.3333333333;66287.7142857143;4.04061977521828
69044;2016;16560.0;69447.3333333333;4.19367954911433
69044;2017;16380.0;70010.0;4.3
69044;2018;16350.0;74160.0;4.5
69044;2019;16730.0;71340.0;4.3
69044;2020;17020.0;71840.0;4.2
69044;2021;17340.0;73490.0;4.2
69045;2014;;;
69045;2015;;;
69045;2016;;;
69045;2017;;;
69045;2018;;;
69045;2019;;;
69045;2020;;;
69045;2021;;;
69046;2014;16918.3333333333;53816.6666666667;3.18096739237513
69046;2015;17163.2258064516;54568.1818181818;3.17936630523557
69046;2016;17168.0;55563.0769230769;3.23643271919134
69046;2017;17300.0;56840.0;3.3
69046;2018;17520.0;59990.0;3.4
69046;2019;17310.0;58850.0;3.4
69046;2020;17870.0;58150.0;3.3
69046;2021;18830.0;62000.0;3.3
69047;2014;;;
69047;2015;;;
69047;2016;;;
69047;2017;;;
69047;2018;;;
69047;2019;;;
69047;2020;;;
69047;2021;;;
69049;2014;15867.0;52151.7391304348;3.2868052644126
69049;2015;15517.2222222222;52864.0;3.40679531703126
69049;2016;16252.5;53075.5555555556;3.26568562101557
69049;2017;16870.0;54380.0;3.2
69049;2018;16840.0;55540.0;3.3
69049;2019;17630.0;54590.0;3.1
69049;2020;18020.0;57370.0;3.2
69049;2021;18220.0;60340.0;3.3
69050;2014;13774.0;42234.4;3.06624074342965
69050;2015;14051.0;40768.6666666667;2.9014779493749
69050;2016;14935.5555555556;42079.0;2.8173709269454
69050;2017;14690.0;42940.0;2.9
69050;2018;15640.0;45210.0;2.9
69050;2019;16170.0;45870.0;2.8
69050;2020;16650.0;46630.0;2.8
69050;2021;16630.0;48060.0;2.9
69051;2014;;;
69051;2015;;;
69051;2016;;;
69051;2017;;;
69051;2018;;;
69051;2019;;;
69051;2020;;;
69051;2021;;;
69052;2014;15879.0;45361.0;2.85666603690409
69052;2015;15859.375;45571.9230769231;2.87350056839712
69052;2016;16127.0;46043.3333333333;2.85504640251338
69052;2017;16860.0;46920.0;2.8
69052;2018;16900.0;48500.0;2.9
69052;2019;17520.0;49160.0;2.8
69052;2020;18090.0;49920.0;2.8
69052;2021;18770.0;51080.0;2.7
69053;2014;;;
69053;2015;;;
69053;2016;;;
69053;2017;;;
69053;2018;;;
69053;2019;;;
69053;2020;;;
69053;2021;;;
69054;2014;;;
69054;2015;;;
69054;2016;;;
69054;2017;;;
69054;2018;;;
69054;2019;;;
69054;2020;;;
69054;2021;;;
69055;2014;;;
69055;2015;;;
69055;2016;;;
69055;2017;;;
69055;2018;;;
69055;2019;;;
69055;2020;;;
69055;2021;;;
69056;2014;;;
69056;2015;;;
69056;2016;15100.6666666667;36229.2;2.39917884420114
69056;2017;15520.0;36660.0;2.4
69056;2018;15750.0;39330.0;2.5
69056;2019;16170.0;39320.0;2.4
69056;2020;16290.0;40300.0;2.5
69056;2021;17350.0;42200.0;2.4
69057;2014;;;
69057;2015;;;
69057;2016;;;
69057;2017;;;
69057;2018;;;
69057;2019;;;
69057;2020;;;
69057;2021;;;
69058;2014;;;
69058;2015;;;
69058;2016;;;
69058;2017;;;
69058;2018;;;
69058;2019;;;
69058;2020;;;
69058;2021;;;
69059;2014;;;
69059;2015;;;
69059;2016;;;
69059;2017;;;
69059;2018;;;
69059;2019;;;
69059;2020;;;
69059;2021;;;
69060;2014;;;
69060;2015;;;
69060;2016;;;
69060;2017;;;
69060;2018;;;
69060;2019;;;
69060;2020;;;
69060;2021;;;
69061;2014;;;
69061;2015;;;
69061;2016;;;
69061;2017;;;
69061;2018;;;
69061;2019;;;
69061;2020;;;
69061;2021;;;
69062;2014;;;
69062;2015;;;
69062;2016;;;
69062;2017;;;
69062;2018;;;
69062;2019;;;
69062;2020;;;
69062;2021;;;
69063;2014;15284.7619047619;65282.3809523809;4.27107607950651
69063;2015;15061.0;68689.3333333333;4.56074187194299
69063;2016;15973.3333333333;69106.0;4.32633555926544
69063;2017;15720.0;69430.0;4.4
69063;2018;17370.0;72930.0;4.2
69063;2019;16620.0;73540.0;4.4
69063;2020;15720.0;69570.0;4.4
69063;2021;17030.0;74490.0;4.4
69064;2014;11437.1428571429;36540.5;3.19489757681739
69064;2015;12248.5;37916.0;3.09556272196596
69064;2016;12276.3636363636;36434.0;2.96781694312796
69064;2017;12580.0;38330.0;3.0
69064;2018;12770.0;38030.0;3.0
69064;2019;12590.0;38120.0;3.0
69064;2020;13090.0;38430.0;2.9
69064;2021;13140.0;39540.0;3.0
69065;2014;;;
69065;2015;;;
69065;2016;;;
69065;2017;;;
69065;2018;;;
69065;2019;;;
69065;2020;;;
69065;2021;;;
69066;2014;11309.0476190476;33330.6666666667;2.94725672659901
69066;2015;11666.1538461538;32671.3333333333;2.80052309991648
69066;2016;12167.3333333333;32726.5;2.68970193414059
69066;2017;12240.0;33090.0;2.7
69066;2018;11900.0;33120.0;2.8
69066;2019;12250.0;32510.0;2.7
69066;2020;11990.0;33190.0;2.8
69066;2021;12410.0;34140.0;2.8
69067;2014;;;
69067;2015;;;
69067;2016;;;
69067;2017;;;
69067;2018;;;
69067;2019;;;
69067;2020;;;
69067;2021;;;
69068;2014;12974.0;43399.2;3.34509018036072
69068;2015;12695.4;44390.6666666667;3.49659456706103
69068;2016;12913.125;45142.3333333333;3.49584886178468
69068;2017;13460.0;45900.0;3.4
69068;2018;13310.0;48040.0;3.6
69068;2019;13690.0;47710.0;3.5
69068;2020;13820.0;48460.0;3.5
69068;2021;14230.0;50180.0;3.5
69069;2014;13664.7619047619;42009.0;3.07425773626986
69069;2015;13776.58;42857.5;3.11089544720097
69069;2016;14020.0;43095.2380952381;3.07384009238503
69069;2017;14040.0;43340.0;3.1
69069;2018;14290.0;44480.0;3.1
69069;2019;14530.0;44270.0;3.0
69069;2020;14500.0;45100.0;3.1
69069;2021;14980.0;46710.0;3.1
69070;2014;;;
69070;2015;;;
69070;2016;;;
69070;2017;;;
69070;2018;;;
69070;2019;;;
69070;2020;;;
69070;2021;;;
69071;2014;;;
69071;2015;;;
69071;2016;;;
69071;2017;;;
69071;2018;;;
69071;2019;;;
69071;2020;;;
69071;2021;;;
69072;2014;15148.0;56597.5;3.73630182202271
69072;2015;14951.0;57938.3333333333;3.87521458988251
69072;2016;15581.0;58685.3333333333;3.76646770639454
69072;2017;15690.0;60000.0;3.8
69072;2018;15650.0;63260.0;4.0
69072;2019;15460.0;62340.0;4.0
69072;2020;15500.0;61110.0;3.9
69072;2021;16340.0;63900.0;3.9
69074;2014;;;
69074;2015;;;
69074;2016;;;
69074;2017;;;
69074;2018;;;
69074;2019;;;
69074;2020;;;
69074;2021;;;
69075;2014;;;
69075;2015;;;
69075;2016;;;
69075;2017;;;
69075;2018;;;
69075;2019;;;
69075;2020;;;
69075;2021;;;
69076;2014;15790.0;56315.6;3.5665357821406
69076;2015;16285.0;56723.3333333333;3.48316446627776
69076;2016;16630.3571428571;59411.0;3.57244282186191
69076;2017;17510.0;60320.0;3.4
69076;2018;17700.0;63290.0;3.6
69076;2019;18930.0;64570.0;3.4
69076;2020;18900.0;66880.0;3.5
69076;2021;19300.0;64890.0;3.4
69077;2014;;;
69077;2015;;;
69077;2016;;;
69077;2017;;;
69077;2018;;;
69077;2019;;;
69077;2020;;;
69077;2021;;;
69078;2014;;;
69078;2015;;;
69078;2016;;;
69078;2017;;;
69078;2018;;;
69078;2019;;;
69078;2020;;;
69078;2021;;;
69080;2014;;;
69080;2015;;;
69080;2016;;;
69080;2017;;;
69080;2018;;;
69080;2019;;;
69080;2020;;;
69080;2021;;;
69081;2014;12340.0;56547.6;4.58246353322528
69081;2015;12386.9230769231;58544.0;4.72627460721605
69081;2016;12774.1379310345;59047.4;4.62241760021595
69081;2017;12720.0;59610.0;4.7
69081;2018;12770.0;61290.0;4.8
69081;2019;12760.0;60590.0;4.7
69081;2020;12840.0;59220.0;4.6
69081;2021;13050.0;62050.0;4.8
69082;2014;;;
69082;2015;;;
69082;2016;;;
69082;2017;;;
69082;2018;;;
69082;2019;;;
69082;2020;;;
69082;2021;;;
69083;2014;;;
69083;2015;;;
69083;2016;;;
69083;2017;;;
69083;2018;;;
69083;2019;;;
69083;2020;;;
69083;2021;;;
69084;2014;;;
69084;2015;;;
69084;2016;;;
69084;2017;;;
69084;2018;;;
69084;2019;;;
69084;2020;;;
69084;2021;;;
69085;2014;;;
69085;2015;;;
69085;2016;;;
69085;2017;;;
69085;2018;;;
69085;2019;;;
69085;2020;;;
69085;2021;;;
69086;2014;15760.7692307692;41777.619047619;2.65073477289788
69086;2015;16110.0;41249.5652173913;2.560494426902
69086;2016;16444.5;43468.0;2.64331539420475
69086;2017;16620.0;43220.0;2.6
69086;2018;17280.0;46090.0;2.7
69086;2019;17900.0;46170.0;2.6
69086;2020;18710.0;45580.0;2.4
69086;2021;19120.0;47350.0;2.5
69087;2014;15056.511627907;54954.7619047619;3.64990000757574
69087;2015;15102.0;55724.6666666667;3.68988654924293
69087;2016;15669.756097561;57820.0;3.68991065591632
69087;2017;16330.0;61850.0;3.8
69087;2018;16730.0;61830.0;3.7
69087;2019;16570.0;62580.0;3.8
69087;2020;16570.0;60920.0;3.7
69087;2021;17820.0;62230.0;3.5
69088;2014;12020.0;41443.3333333333;3.44786466999445
69088;2015;11928.0;41044.1379310345;3.44099077221952
69088;2016;12313.8095238095;40784.0;3.31205383038787
69088;2017;12360.0;41700.0;3.4
69088;2018;12750.0;43070.0;3.4
69088;2019;13190.0;43690.0;3.3
69088;2020;13390.0;43600.0;3.3
69088;2021;13480.0;45270.0;3.4
69089;2014;13929.5238095238;44870.6666666667;3.2212635033502
69089;2015;13968.0;45840.9523809524;3.28185512463863
69089;2016;13922.5;45955.7142857143;3.30082343585666
69089;2017;14120.0;47250.0;3.3
69089;2018;14880.0;49140.0;3.3
69089;2019;14530.0;48950.0;3.4
69089;2020;15070.0;48310.0;3.2
69089;2021;14950.0;50090.0;3.4
69090;2014;;;
69090;2015;;;
69090;2016;;;
69090;2017;;;
69090;2018;;;
69090;2019;;;
69090;2020;;;
69090;2021;;;
69091;2014;8716.19047619048;27764.0;3.18533653846154
69091;2015;8724.83870967742;27955.5;3.20412799940844
69091;2016;8813.52941176471;27716.0;3.14471067209504
69091;2017;8940.0;28180.0;3.2
69091;2018;9120.0;28570.0;3.1
69091;2019;9060.0;28940.0;3.2
69091;2020;9530.0;29270.0;3.1
69091;2021;9800.0;30280.0;3.1
69092;2014;11052.75;37242.6666666667;3.36953850097638
69092;2015;10827.3333333333;37240.6666666667;3.43950495659134
69092;2016;11345.0;37463.4615384615;3.30220022375157
69092;2017;11850.0;38370.0;3.2
69092;2018;11890.0;39620.0;3.3
69092;2019;12050.0;39620.0;3.3
69092;2020;12640.0;40240.0;3.2
69092;2021;12520.0;41720.0;3.3
69093;2014;;;
69093;2015;;;
69093;2016;;;
69093;2017;;;
69093;2018;;;
69093;2019;;;
69093;2020;;;
69093;2021;;;
69094;2014;14185.0;43208.0;3.0460345435319
69094;2015;14619.6153846154;44450.0;3.04043566336061
69094;2016;14810.0;43370.0;2.92842673869007
69094;2017;14650.0;43620.0;3.0
69094;2018;15000.0;43830.0;2.9
69094;2019;14800.0;43610.0;2.9
69094;2020;15410.0;43690.0;2.8
69094;2021;15510.0;45930.0;3.0
69095;2014;;;
69095;2015;;;
69095;2016;;;
69095;2017;;;
69095;2018;;;
69095;2019;;;
69095;2020;;;
69095;2021;;;
69096;2014;10697.037037037;30670.0;2.86714908939824
69096;2015;10880.3571428571;30984.0;2.84770064007878
69096;2016;11198.6956521739;30769.0;2.74755212175331
69096;2017;11350.0;30690.0;2.7
69096;2018;11420.0;32280.0;2.8
69096;2019;11480.0;32080.0;2.8
69096;2020;12060.0;32890.0;2.7
69096;2021;12090.0;34460.0;2.9
69097;2014;;;
69097;2015;;;
69097;2016;;;
69097;2017;;;
69097;2018;;;
69097;2019;;;
69097;2020;;;
69097;2021;;;
69098;2014;;;
69098;2015;;;
69098;2016;;;
69098;2017;;;
69098;2018;;;
69098;2019;;;
69098;2020;;;
69098;2021;;;
69099;2014;;;
69099;2015;;;
69099;2016;;;
69099;2017;;;
69099;2018;;;
69099;2019;;;
69099;2020;;;
69099;2021;;;
