id_departement;annee;id_indicateur_securite;nombre;taux_pour_mille;source_file_name;extraction_source_url;ingestion_timestamp
69;2016;SEC_001;10234;11.3150138;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_002;18847;10.2657929;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_003;9305;5.0683506;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_004;23;0.0125279;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_005;60;0.0326815;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_006;925;0.5038393;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_007;6617;3.6042209;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_008;0;0.0;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_009;6617;3.6042209;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_010;5930;3.2300181;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_011;3170;1.7266707;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_012;1373;0.7478609;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_013;382;0.208072;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_014;3921;2.1357338;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_015;13226;7.2040843;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_016;6051;3.2959258;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_017;30097;16.3935676;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2016;SEC_018;3719;2.0257062;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_001;9688;10.5882067;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_002;19549;10.6053266;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_003;9990;5.419572;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_004;20;0.01085;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_005;44;0.02387;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_006;1062;0.5761347;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_007;6225;3.3770606;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_008;0;0.0;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_009;6225;3.3770606;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_010;6080;3.2983982;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_011;3130;1.6980241;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_012;1541;0.835992;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_013;338;0.1833649;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_014;3937;2.1358213;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_015;15921;8.6371377;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_016;5768;3.1291383;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_017;32612;17.6920001;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2017;SEC_018;3315;1.7983865;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_001;9609;10.3704392;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_002;18575;9.9891155;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_003;9486;5.1013055;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_004;19;0.0102177;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_005;64;0.0344174;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_006;995;0.5350832;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_007;6309;3.3928037;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_008;0;0.0;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_009;6309;3.3928037;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_010;6606;3.552522;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_011;3754;2.0187962;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_012;1814;0.9755185;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_013;366;0.1968246;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_014;3684;1.9811522;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_015;16254;8.7409466;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_016;5230;2.8125477;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_017;33345;17.9320084;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2018;SEC_018;3249;1.7472213;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_001;10256;10.9392216;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_002;18340;9.777438;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_003;10754;5.7331826;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_004;21;0.0111955;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_005;66;0.035186;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_006;1141;0.608291;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_007;6505;3.4679517;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_008;0;0.0;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_009;6505;3.4679517;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_010;6568;3.5015383;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_011;4381;2.3356028;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_012;2099;1.1190208;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_013;353;0.1881917;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_014;3549;1.8920462;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_015;13543;7.2200569;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_016;5387;2.8719225;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_017;33522;17.8712801;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2019;SEC_018;3036;1.6185552;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_001;7652;8.0587145;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_002;16320;8.6650098;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_003;11486;6.0984254;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_004;21;0.0111498;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_005;82;0.0435374;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_006;1150;0.6105859;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_007;5027;2.6690566;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_008;1178;0.6254523;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_009;3849;2.0436043;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_010;5888;3.1261996;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_011;4501;2.38978;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_012;2046;1.0863119;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_013;342;0.1815829;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_014;2984;1.5843376;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_015;11791;6.2603634;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_016;4922;2.6133075;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
69;2020;SEC_017;26236;13.9298527;DEP-departementale.csv;https://www.data.gouv.fr/api/1/datasets/r/2b27a675-e3bf-41ef-a852-5fb9ab483967;2026-03-28 19:12:32.815146
